Region	B_Naive B_Mast	CD8 cytotoxic T_memory B_CD8 T_Mesothelial_Muscle	Muscle_memory B_CD8 T	Vascular_Epithelial_T follicle helper_Endothelial	CD8 T_Mesothelial_Muscle	Fibroblast_CD8 cytotoxic T_monocyte_macrophage_regulatory T_plasma	naive B_Myeloid dendritic_Mast_Mature NK T	Vascular	Myeloid dendritic_Mast	B_fibroblast	NK_CD4_Regulatory_T
HBM632.JSNP.578_reg001	2264	7319	4906	3356	1471	702	1528	382	128	54	34
HBM887.SHVF.747_reg1	1341	2776	15806	391	10134	5985	7341	8517	1603	939	13445
HBM356.BVRR.244_reg1	3136	2355	5234	804	10185	39506	20345	335	1309	25249	133
HBM353.PBPQ.757_reg1	5890	3639	2529	1907	1290	12587	5843	1727	5160	16115	646
HBM465.HZHH.676_reg1	10072	20596	24793	15342	4576	16267	6375	6907	11289	272	9425
HBM545.WPDT.262_reg1	2248	22119	8573	31508	3606	3440	1788	24330	1316	105	246
HBM373.LDGF.766_reg1	2774	3806	14907	574	11492	5473	6701	11358	1263	1203	12171
HBM893.CCKX.496_reg1	9954	22859	9733	20057	4464	18644	1478	5102	23529	7524	2629
HBM597.KZXW.469_reg1	2542	5482	6585	1054	1515	945	1176	10216	504	86	44
HBM792.GKBV.697_reg001	2684	8104	5279	3350	1343	799	1015	854	220	92	54
HBM785.CNWZ.888_reg1	8765	2038	2093	1532	1311	11578	7189	6489	206	15521	44
HBM857.ZBDC.975_reg1	433	7092	1837	3319	2323	437	136	22024	220	78	20
