Region	Glandular Epithelial	Mature Epithelial	Secretory Epithelial	Smooth Muscle & Innate Immur	Microvasculature	Stroma & Innate Immune	Adaptive Immune Enriched	Plasma cell enriched	Transit Ampifying Zone
HBM629.DBKM.347_reg001	5356	2517	8524	5188	1917	1947	2428	2113	4231
HBM244.TVNH.734_reg001	30159	1878	7733	11295	1317	2067	2432	1933	6442
HBM995.WMDN.689_reg001	4609	1712	5556	3476	1644	1840	1683	1029	2557
HBM658.WGPT.978_reg001	5870	1899	3984	5454	1466	769	1093	1746	29221
HBM784.TKZX.992_reg001	2452	1142	3439	3283	894	991	1158	723	1965
HBM523.XHWW.384_reg001	2633	1759	3664	3257	666	912	1282	1162	6170
HBM959.BVWN.344_reg001	3348	1747	6381	3406	1861	1723	1668	1078	2363
HBM334.RPTP.997_reg001	5496	2144	6394	4633	1563	1508	1561	1618	3532
HBM433.ZLWP.627_reg001	3715	1307	4174	4188	1185	947	1407	792	2254
HBM777.TLQL.487_reg001	4305	2136	5725	3663	1772	1677	1710	1074	2844
HBM777.TLQL.487_reg002	4086	1889	5591	3492	1573	1476	1554	1086	2847
HBM654.MLRM.725_reg001	3185	1604	3203	3480	1132	683	996	1331	12789
HBM926.SHNZ.594_reg001	3654	2034	6007	3374	1605	1590	1808	1042	3030
HBM644.QKZS.857_reg001	14767	2779	9290	11114	2236	2748	3002	2329	7845
HBM929.PRKH.522_reg001	3841	1513	4448	3308	1148	1079	1427	1043	2353
HBM475.DXDC.532_reg001	9250	4021	10800	8314	2942	2675	3121	3069	6363
HBM443.XPDK.549_reg001	3738	1759	5890	3624	1966	1599	1783	858	2217
HBM776.SDCW.837_reg001	4523	1571	4863	4960	1585	1270	1513	943	3107
HBM953.NPDJ.575_reg001	3336	1357	5334	3409	1212	1233	1518	967	2446
HBM429.DWKZ.323_reg001	3824	1670	2484	4233	1471	702	852	823	4499
HBM236.WBFT.443_reg001	3501	1315	7659	4302	1034	699	909	1139	3445
HBM236.WBFT.443_reg002	6576	2527	8411	5465	1421	1426	1586	2709	4685
HBM236.WBFT.443_reg003	7878	3180	10995	7243	1969	1715	2222	3404	6119
HBM236.WBFT.443_reg004	4126	1671	9353	4472	1219	866	1442	3010	3727
HBM625.BPDM.987_reg001	8379	4515	12435	7564	2792	3350	4123	2188	8713
HBM795.GWKV.825_reg001	3254	2142	5450	3692	2159	1393	1847	1191	2332
HBM253.MXKW.373_reg001	4833	2263	7038	4763	1704	2003	2594	1376	4104
HBM829.QZQP.626_reg001	4313	1953	7377	3928	1931	2104	2143	1058	2957
HBM233.GTZN.466_reg001	6192	2066	5822	4857	1294	1411	1626	1937	3624
HBM423.QJJR.545_reg001	9182	2930	8968	7831	1715	2106	2680	3237	6078
HBM837.RHNC.533_reg001	4672	1437	5382	3817	1607	1666	1602	816	2705
HBM962.BFPH.344_reg001	5405	1852	6558	4105	1855	1733	1630	1044	2767
HBM564.DSPG.945_reg001	2404	1223	2863	2416	891	839	927	654	2076
HBM842.LQDP.877_reg001	4227	2333	5235	6625	2020	1349	1683	1399	3765
HBM735.PSTF.274_reg001	6249	2103	6141	5453	1352	1424	1700	1912	3849
HBM587.VTDD.789_reg001	3877	1546	4637	3121	1254	1115	1497	1384	2485
HBM398.SWKV.256_reg001	9338	3164	12807	10175	2265	3039	4059	2805	6408
