Region	B cell	fibroblast	vascular associated smooth muscle cell	CD8-positive, alpha-beta cytotoxic T cell	monocyte	macrophage	thymocyte	mature NK T cell	CD4-positive helper T cell	naive regulatory T cell	plasma cell	vein endothelial cell	capillary endothelial cell	medullary thymic epithelial cell	T follicular helper cell	erythrocyte	endothelial cell of artery	endothelial cell of lymphatic vessel	DN4 thymocyte	memory B cell	CD8-positive, alpha-beta T cell	mesothelial cell	fast muscle cell	naive B cell	myeloid dendritic cell	mast cell
HBM632.JSNP.578_reg001	2667.0	6244.0	5159.0	326.0	358.0	853.0	345.0	43.0	1346.0	423.0	1722.0	576.0	212.0	544.0	105.0	624.0	224.0	317.0	21.0	16.0	1.0	10.0	3.0	2.0	3.0	
HBM887.SHVF.747_reg1	2704.0	3650.0	17533.0	2462.0	55.0	399.0	2607.0	269.0	8646.0	2934.0	6965.0	4601.0	4591.0	479.0	699.0	333.0	5728.0	3350.0	207.0	1.0	21.0		43.0			1.0
HBM356.BVRR.244_reg1	3693.0	5775.0	36280.0	1019.0	401.0	939.0	627.0	157.0	2865.0	973.0	44156.0	4389.0	761.0	2512.0	142.0	1186.0	1092.0	1468.0	93.0	27.0	2.0	1.0	16.0	7.0	9.0	1.0
HBM353.PBPQ.757_reg1	4363.0	4090.0	12347.0	845.0	766.0	2281.0	668.0	234.0	2689.0	1387.0	19699.0	3652.0	1101.0	294.0	364.0	1309.0	504.0	601.0	35.0	37.0	2.0	1.0	26.0	16.0		22.0
HBM465.HZHH.676_reg1	11804.0	25609.0	24557.0	2245.0	351.0	1559.0	2992.0	270.0	11674.0	3065.0	5247.0	12576.0	5388.0	1067.0	1359.0	1594.0	8012.0	6297.0	122.0	67.0	5.0	29.0	8.0	16.0		1.0
HBM545.WPDT.262_reg1	5153.0	32781.0	9120.0	3318.0	972.0	2926.0	3973.0	560.0	17815.0	3911.0	4327.0	4243.0	1156.0	2646.0	3019.0	256.0	1293.0	1462.0	228.0	34.0	2.0	63.0	5.0	10.0	4.0	2.0
HBM373.LDGF.766_reg1	3428.0	4541.0	16855.0	2947.0	72.0	415.0	3230.0	356.0	9969.0	3606.0	7915.0	3776.0	4226.0	741.0	788.0	366.0	5248.0	2941.0	221.0	1.0	26.0		45.0	7.0	2.0	
HBM893.CCKX.496_reg1	12019.0	31035.0	14197.0	1761.0	869.0	2915.0	2478.0	243.0	8949.0	2351.0	11346.0	17373.0	4661.0	1045.0	1115.0	1287.0	5336.0	6773.0	62.0	62.0	1.0	40.0	24.0	11.0	14.0	6.0
HBM597.KZXW.469_reg1	2768.0	4299.0	5409.0	1687.0	69.0	331.0	1382.0	132.0	6820.0	1797.0	1538.0	1206.0	174.0	514.0	838.0	321.0	338.0	407.0	92.0	10.0	1.0	5.0	10.0	1.0		
HBM792.GKBV.697_reg001	2989.0	6527.0	5082.0	435.0	310.0	877.0	467.0	58.0	1730.0	570.0	1496.0	846.0	303.0	656.0	147.0	604.0	265.0	372.0	30.0	13.0	1.0	10.0	2.0	4.0		
HBM785.CNWZ.888_reg1	6882.0	3366.0	13285.0	1188.0	372.0	691.0	1001.0	405.0	5322.0	1652.0	19558.0	579.0	136.0	282.0	720.0	784.0	136.0	212.0	93.0	59.0	3.0	1.0	25.0	11.0	1.0	2.0
HBM857.ZBDC.975_reg1	1268.0	7289.0	2543.0	2191.0	96.0	614.0	1296.0	188.0	13238.0	2505.0	1996.0	1208.0	131.0	974.0	1553.0	59.0	308.0	257.0	173.0	6.0	1.0	23.0	1.0		1.0	
